TEAM,COLLEGE,NAME,COLLEGE_NAME
Cleveland Cavaliers,Wyoming, Larry Nance Jr.,Wyoming Larry Nance Jr.
Boston Celtics,SMU,Semi Ojeleye,SMUSemi Ojeleye
Miami Heat,Gonzaga,Kelly Olynyk,GonzagaKelly Olynyk
Phoenix Suns,Texas Tech,Tariq Owens,Texas TechTariq Owens
Sacramento Kings,Duke,Jabari Parker,DukeJabari Parker
Golden State Warriors,Villanova,Eric Paschall,VillanovaEric Paschall
LA Clippers,Kentucky,Patrick Patterson,KentuckyPatrick Patterson
Denver Nuggets,Duke,Mason Plumlee,DukeMason Plumlee
Memphis Grizzlies,Missouri,Jontay Porter,MissouriJontay Porter
Denver Nuggets,Missouri,Michael Porter Jr. ,MissouriMichael Porter Jr. 
New York Knicks,Arkansas,Bobby Portis,ArkansasBobby Portis
Dallas Mavericks,,Kristaps Porzingis,Kristaps Porzingis
Brooklyn Nets,Baylor,Taurean Prince,BaylorTaurean Prince
New York Knicks,Kentucky,Julius Randle,KentuckyJulius Randle
Indiana Pacers,Gonzaga,Domantas Sabonis,GonzagaDomantas Sabonis
San Antonio Spurs,,Luka Samanic,Luka Samanic
Phoenix Suns,,Dario Saric,Dario Saric
Philadelphia 76ers,Virginia,Mike Scott,VirginiaMike Scott
Toronto Raptors,New Mexico State,Pascal Siakam,New Mexico StatePascal Siakam
Miami Heat,South Carolina,Chris Silva,South CarolinaChris Silva
Golden State Warriors,,Alen Smailagic,Alen Smailagic
Charlotte Hornets,Louisville,Ray Spalding,LouisvilleRay Spalding
Minnesota Timberwolves,Villanova,Omari Spellman,VillanovaOmari Spellman
Portland Trail Blazers,Purdue,Caleb Swanigan,PurdueCaleb Swanigan
Boston Celtics,Duke,Jayson Tatum,DukeJayson Tatum
Memphis Grizzlies,Creighton,Anthony Tolliver,CreightonAnthony Tolliver
Houston Rockets,Texas,P.J. Tucker,TexasP.J. Tucker
Minnesota Timberwolves,Kentucky,Jarred Vanderbilt,KentuckyJarred Vanderbilt
Denver Nuggets,Indiana,Noah Vonleh,IndianaNoah Vonleh
Cleveland Cavaliers,Kansas State,Dean Wade,Kansas StateDean Wade
Charlotte Hornets,Kentucky,PJ Washington,KentuckyPJ Washington
Boston Celtics,Tennessee,Grant Williams,TennesseeGrant Williams
Washington Wizards,Gonzaga,Johnathan Williams,GonzagaJohnathan Williams
Milwaukee Bucks,North Carolina,Marvin Williams,North CarolinaMarvin Williams
Milwaukee Bucks,Michigan,D.J. Wilson,MichiganD.J. Wilson
